44,00,00,00,00,00,06,45,00,00,00,00,00,00,01,01,01,01,00,00,00,00,00,00,00,00,01,01,01,01,00,00
44,25,25,25,25,04,00,45,00,00,00,00,00,00,01,01,01,01,00,00,00,00,00,00,00,00,00,01,01,01,00,04
44,26,26,26,26,03,04,45,00,00,00,00,00,00,01,01,01,00,00,00,00,00,00,00,00,00,00,01,01,01,00,03
44,23,22,21,24,00,03,45,00,00,00,00,00,00,00,01,01,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00
44,27,28,63,29,01,01,45,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,40,41,41,41,41
44,01,01,57,01,01,01,45,00,00,00,00,00,00,00,00,00,00,00,00,00,00,15,16,17,00,00,43,39,39,39,39
44,01,01,57,57,57,57,57,57,57,57,57,00,00,00,00,00,00,00,00,00,00,13,62,14,00,00,43,39,39,39,39
46,47,47,47,47,47,47,48,00,57,57,57,57,57,00,00,00,00,00,00,00,00,11,62,12,00,00,43,39,39,39,39
00,00,00,00,00,00,00,00,00,00,00,57,57,57,57,00,00,52,65,65,53,00,11,10,12,00,40,49,39,39,39,39
00,00,00,00,00,00,00,00,00,00,00,00,00,57,57,57,00,59,60,09,61,00,18,64,20,00,43,39,39,39,39,39
00,00,00,00,00,00,00,00,00,00,01,01,01,01,57,57,57,57,57,57,57,57,57,57,57,00,43,39,39,39,39,39
00,00,00,01,00,00,00,00,00,00,01,01,01,01,05,57,57,57,57,57,57,57,57,57,57,57,58,58,58,39,39,39
00,00,01,01,01,00,00,00,00,00,01,51,51,51,51,57,00,05,02,07,00,00,57,57,02,00,43,39,39,39,39,39
00,00,01,01,00,00,00,00,00,00,01,59,09,60,61,57,00,40,41,41,42,00,00,00,00,40,49,39,39,39,39,39
00,00,00,00,00,00,00,00,00,00,01,57,57,57,57,57,00,43,39,39,50,41,41,41,41,49,39,39,39,39,39,39
00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,00,43,39,39,39,39,39,39,39,39,39,39,39,39,39,39
